departure_iata,destination_iata
AAL,CPH
AAL,AMS
AAR,CPH
AAR,STN
ABJ,NBO
ABJ,CDG
ABQ,DFW
ABQ,ATL
ABQ,ORD
ABV,LOS
ABV,FRA
ABV,IST
ABV,LHR
ABV,ADD
ABX,SYD
ABZ,BHD
ABZ,AMS
ABZ,LGW
ABZ,LHR
ABZ,DUB
ABZ,BHX
ACC,IST
ACC,BRU
ACC,ADD
ACC,AMS
ACC,BJL
ACC,LHR
ACC,LOS
ACC,DOH
ACC,FNA
ACE,DUB
ACE,TFN
ACH,VIE
ADB,ORK
ADB,ESB
ADB,SAW
ADB,IST
ADB,DUB
ADD,DAR
ADD,KGL
ADD,JNB
ADD,NBO
ADD,FIH
ADD,WDH
ADD,DXB
ADD,EBB
ADD,FCO
ADD,MAN
ADD,LLW
ADD,BGF
ADD,FNA
ADD,BLZ
ADD,NDJ
ADD,AMH
ADD,CDG
ADD,DOH
ADD,LHR
ADD,BRU
ADD,CAI
ADD,PEK
ADD,AWA
ADD,JUB
ADD,BKK
ADD,ARN
ADD,LUN
ADD,NLA
ADD,GGR
ADD,MBA
ADD,MGQ
ADD,FRA
ADD,TNR
ADD,IST
ADD,HRE
ADD,BJM
ADL,PLO
ADL,DXB
ADL,DOH
ADL,MEL
ADL,SYD
AEP,GRU
AES,AMS
AEY,RKV
AGA,ZRH
AGA,CMN
AGA,DUB
AGP,SNN
AGP,DUS
AGP,LIS
AGP,FRA
AGP,VNO
AGP,FCO
AGP,BRU
AGP,BCN
AGP,MAD
AGP,BGY
AGP,CGN
AGP,BFS
AGP,ZRH
AGP,DUB
AGP,BLQ
